

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20260121-cytation3-pure-timecourse-gfp-OnePotPURE-Opt2.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	1/21/2026
Time	11:35:27 AM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B								SPL1		SPL1		SPL1													Well ID
C																									Well ID
D								SPL2		SPL2		SPL2													Well ID
E																									Well ID
F								SPL3		SPL3		SPL3													Well ID
G																									Well ID
H								SPL4		SPL4		SPL4													Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	B8	B10	B12	D8	D10	D12	F8	F10	F12	H8	H10	H12
0:00:00	37.0	43	44	44	44	46	44	44	45	43	41	41	40
0:05:00	37.0	41	41	42	42	43	41	42	42	41	47	48	50
0:10:00	37.0	41	41	41	41	42	41	41	42	40	496	526	544
0:15:00	37.0	73	69	69	43	44	43	42	42	42	2068	2150	2202
0:20:00	36.9	452	430	431	168	170	170	113	115	118	4798	4927	5015
0:25:00	36.9	1200	1167	1160	597	608	598	408	423	419	8213	8432	8498
0:30:00	37.0	2169	2127	2120	1213	1250	1221	888	917	903	11900	12232	12323
0:35:00	37.0	3262	3228	3234	1942	2011	1958	1474	1515	1481	15552	16026	15967
0:40:00	37.0	4454	4389	4414	2759	2849	2763	2115	2186	2133	19098	19541	19473
0:45:00	36.9	5679	5640	5612	3626	3703	3616	2799	2878	2810	22337	22929	22929
0:50:00	37.0	6949	6877	6847	4497	4604	4483	3504	3612	3506	25359	25971	25874
0:55:00	37.0	8170	8148	8115	5370	5521	5340	4231	4341	4225	28209	28628	28590
1:00:00	37.0	9456	9367	9325	6282	6424	6239	4947	5076	4949	30664	31221	31107
1:05:00	37.0	10699	10582	10562	7141	7326	7095	5665	5777	5616	32941	33527	33339
1:10:00	37.0	11804	11796	11752	7979	8201	7944	6343	6496	6339	34923	35434	35654
1:15:00	37.0	13032	12981	12888	8842	9072	8790	7042	7196	7023	36880	37398	37376
1:20:00	37.0	14181	14039	14077	9667	9881	9607	7693	7854	7642	38581	39294	39031
1:25:00	37.0	15239	15144	15154	10458	10715	10397	8325	8513	8317	40089	40533	40604
1:30:00	37.0	16335	16291	16141	11197	11503	11146	8960	9124	8919	41459	42185	41880
1:35:00	37.0	17293	17327	17170	11933	12227	11838	9592	9803	9532	42810	43149	43132
1:40:00	36.9	17976	18122	18007	12526	12814	12489	10170	10374	10074	43774	44474	44260
1:45:00	37.0	18986	19006	18945	13203	13441	13153	10674	10951	10637	44804	45402	45245
1:50:00	37.0	19749	19685	19682	13664	14000	13594	11241	11455	11166	45745	46038	46142
1:55:00	37.0	20489	20620	20531	14175	14470	14097	11798	12018	11664	46659	46878	47026
2:00:00	37.0	21212	21183	21130	14602	14951	14604	12162	12493	12143	47134	48017	47722
2:05:00	37.0	21905	21850	21823	14962	15338	14987	12701	13008	12555	47733	48455	48078
2:10:00	37.0	22517	22536	22501	15439	15793	15375	13034	13353	13017	48528	48728	48521
2:15:00	36.9	23118	23206	23256	15762	16077	15758	13428	13774	13391	48923	49403	49205
2:20:00	37.0	23739	23744	23740	16084	16533	16135	13895	14161	13784	49320	49890	49366
2:25:00	37.0	24290	24400	24272	16477	16799	16428	14256	14524	14224	49665	50348	49876
2:30:00	37.0	24909	24945	24935	16688	17137	16752	14528	14854	14406	50273	50544	50209
2:35:00	37.0	25305	25519	25334	17149	17473	17094	14743	15149	14700	50242	50626	50917
2:40:00	37.0	25786	26102	25870	17391	17869	17341	15108	15354	15076	50474	51211	50977
2:45:00	37.0	26330	26496	26401	17677	18106	17685	15330	15610	15274	50853	51634	51058
2:50:00	37.0	26788	26850	26961	18020	18357	17975	15561	15856	15416	50782	51326	51054
2:55:00	37.0	27086	27359	27322	18167	18516	18193	15813	16126	15562	51035	51555	51021
3:00:00	37.0	27573	27791	27630	18482	18868	18359	16001	16254	15891	51311	51518	51327
3:05:00	37.0	27858	28115	28096	18671	19082	18709	16110	16552	16069	51204	51796	51343
3:10:00	37.0	28271	28484	28440	18857	19287	18827	16271	16673	16218	51153	51964	51327
3:15:00	37.0	28594	28754	28684	19077	19468	18956	16491	16916	16325	51043	51529	51583
3:20:00	37.0	28811	29188	29014	19265	19718	19246	16606	17083	16548	51293	51678	51392
3:25:00	37.0	29072	29385	29283	19443	19898	19487	16784	17176	16834	51083	51624	51509
3:30:00	37.0	29305	29708	29413	19573	19981	19596	16877	17333	16847	51153	51674	51477
3:35:00	37.0	29597	29933	29836	19740	20201	19789	17032	17540	17040	51296	51688	51449
3:40:00	37.0	29803	30066	29994	19870	20346	19967	17209	17609	17055	51215	51721	51345
3:45:00	37.0	30006	30304	30103	20052	20504	20012	17354	17703	17313	51223	51539	51343
3:50:00	37.0	30075	30354	30310	20196	20584	20120	17567	17888	17367	51427	52004	51307
3:55:00	37.0	30309	30496	30452	20205	20768	20223	17577	18001	17537	51234	52002	51518
4:00:00	37.0	30218	30492	30351	20262	20832	20402	17621	18032	17586	50967	51599	51259
4:05:00	37.0	30413	30568	30696	20447	20761	20449	17699	18118	17613	50874	51738	51473
4:10:00	37.0	30489	30602	30450	20490	20933	20565	17734	18190	17628	51051	51660	51239
4:15:00	37.0	30416	30498	30514	20467	21060	20676	17743	18147	17728	50725	51827	51176
4:20:00	37.0	30464	30596	30593	20675	21098	20718	17855	18165	17731	50999	51581	51258
