

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20260123-cytation3-pure-timecourse-gfp-OnePotPURE-Opt4.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	1/23/2026
Time	2:21:44 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H														SPL1		SPL1		SPL1							Well ID
I																									Well ID
J														SPL2		SPL2		SPL2							Well ID
K																									Well ID
L														SPL3		SPL3		SPL3							Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	H14	H16	H18	J14	J16	J18	L14	L16	L18
0:00:00	36.9	45	44	42	45	44	42	37	37	37
0:05:00	37.0	42	41	41	43	41	41	70	70	69
0:10:00	37.0	42	41	40	42	41	41	628	627	610
0:15:00	37.0	49	46	44	57	52	50	2224	2219	2161
0:20:00	37.0	330	300	267	383	352	317	4757	4813	4707
0:25:00	37.0	1115	1046	957	1161	1098	1021	7907	7974	7797
0:30:00	37.0	2197	2098	1953	2220	2120	2006	11256	11336	11161
0:35:00	37.0	3451	3310	3117	3448	3326	3138	14577	14720	14435
0:40:00	37.0	4811	4665	4374	4790	4621	4398	17700	17947	17589
0:45:00	37.0	6229	6039	5710	6156	5992	5735	20599	20961	20542
0:50:00	37.0	7708	7476	7088	7630	7401	7076	23366	23687	23319
0:55:00	37.0	9151	8913	8455	9026	8814	8466	25862	26241	25813
1:00:00	37.0	10652	10331	9814	10511	10248	9845	28100	28532	27990
1:05:00	37.0	12113	11841	11178	11898	11611	11220	30320	30626	30161
1:10:00	37.0	13559	13259	12624	13274	13037	12570	32169	32587	31993
1:15:00	37.0	14957	14565	13941	14708	14449	13962	33818	34341	33839
1:20:00	37.0	16266	15885	15176	15984	15800	15195	35387	35786	35278
1:25:00	37.0	17367	17089	16346	17135	16952	16367	36768	37281	36652
1:30:00	37.0	18547	18182	17469	18316	18038	17571	38146	38490	37934
1:35:00	37.0	19595	19239	18480	19375	19085	18571	39123	39481	39044
1:40:00	37.0	20566	20231	19459	20368	20048	19543	40245	40572	39956
1:45:00	37.0	21617	21227	20365	21357	20989	20465	41051	41493	40811
1:50:00	37.0	22575	22184	21296	22176	21939	21398	41905	42506	41690
1:55:00	37.0	23512	23104	22259	23061	22768	22260	42571	43007	42425
2:00:00	37.0	24381	23935	23151	23875	23662	23115	43304	43903	43252
2:05:00	37.0	25182	24833	24028	24678	24429	23796	43872	44393	43820
2:10:00	37.0	26152	25657	24753	25440	25192	24648	44391	45023	44264
2:15:00	37.0	26888	26397	25541	26177	25792	25306	44863	45490	44759
2:20:00	37.0	27562	27164	26329	26764	26652	26145	45182	45751	45258
2:25:00	37.0	28332	27945	26982	27528	27185	26548	45752	45980	45629
2:30:00	37.0	29183	28616	27680	28228	27741	27262	45748	46294	45651
2:35:00	37.0	29629	29160	28397	28639	28473	27834	46269	46662	45928
2:40:00	37.0	30306	29916	28945	29234	28897	28501	46366	46819	46413
2:45:00	37.0	30881	30515	29523	29781	29390	28995	46425	47280	46374
2:50:00	37.0	31459	30998	30135	30212	29881	29446	46619	47401	46650
2:55:00	37.0	31802	31595	30623	30573	30430	29731	46661	47258	46739
3:00:00	37.0	32405	31979	31188	31205	30851	30345	46879	47575	46972
3:05:00	37.0	32686	32377	31461	31621	31159	30674	47254	47498	46989
3:10:00	37.0	33109	32643	31663	31855	31637	31039	46987	47733	47209
3:15:00	37.0	33235	32805	32043	32238	32002	31449	46994	47680	47175
3:20:00	37.0	33394	33101	32166	32453	32274	31674	47218	47574	47168
3:25:00	37.0	33520	33208	32172	32795	32489	31902	47069	47401	47126
3:30:00	37.0	33509	33141	32336	32868	32602	32299	47085	47752	47139
3:35:00	37.0	33638	33442	32426	33133	32813	32472	47291	47649	47189
3:40:00	37.0	33645	33382	32370	33319	33021	32308	47077	47637	47037
3:45:00	37.0	33803	33362	32428	33493	32976	32503	47196	47685	47012
3:50:00	37.0	33721	33345	32527	33458	33206	32520	47056	47649	46909
3:55:00	37.0	33772	33360	32422	33397	33325	32658	47087	47479	46925
4:00:00	37.0	33904	33532	32641	33454	33360	32680	47005	47549	47006
4:05:00	37.0	33736	33388	32571	33789	33338	32816	47112	47540	47106
