Well	Sample #	Name
J3	1	Negative
L3	1	Negative
N3	1	Negative
J5	2	T7-1-deGFP
L5	2	T7-1-deGFP
N5	2	T7-1-deGFP
J7	3	T7-3-deGFP
L7	3	T7-3-deGFP
N7	3	T7-3-deGFP
J9	4	T7-4-deGFP
L9	4	T7-4-deGFP
N9	4	T7-4-deGFP
J11	5	T7-5-deGFP
L11	5	T7-5-deGFP
N11	5	T7-5-deGFP
J13	6	T7-6-deGFP
L13	6	T7-6-deGFP
N13	6	T7-6-deGFP
J15	7	T7-7-deGFP
L15	7	T7-7-deGFP
N15	7	T7-7-deGFP
J17	8	T7-8-deGFP
L17	8	T7-8-deGFP
N17	8	T7-8-deGFP
J19	9	T7-9-deGFP
L19	9	T7-9-deGFP
N19	9	T7-9-deGFP
J21	10	T7-10-deGFP
L21	10	T7-10-deGFP
N21	10	T7-10-deGFP
