

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251205-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	12/5/2025
Time	2:01:55 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C										SPL1	SPL2	SPL3	SPL4	SPL5											Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	C10	C11	C12	C13	C14
0:00:00	37.0	48683	51046	50620	50163	51453
0:05:00	37.0	45178	47565	47227	44348	45176
0:10:00	37.0	43607	46236	45669	42486	43255
0:15:00	37.0	43005	45481	45052	41648	42447
0:20:00	37.0	42827	45326	44973	41252	42086
0:25:00	37.0	42715	45132	44827	41064	41876
0:30:00	37.0	42729	45019	44496	41050	41818
0:35:00	36.9	42630	44851	44387	40770	41890
0:40:00	37.0	42528	44561	44201	40938	41678
0:45:00	37.0	42648	43939	43826	40775	41648
0:50:00	37.0	42374	43294	43323	40690	41632
0:55:00	37.0	42464	42552	42767	40748	41356
1:00:00	37.0	42438	41796	42220	40536	41309
1:05:00	37.0	42259	41087	41519	40579	41211
1:10:00	37.0	42376	40277	40923	40624	41456
1:15:00	37.0	42098	39481	40212	40538	41496
1:20:00	37.0	42218	38781	39563	40355	41320
1:25:00	37.0	42073	37700	38854	40491	41424
1:30:00	37.0	42188	36813	38158	40344	41118
1:35:00	37.0	42161	35982	37474	40310	41098
1:40:00	37.0	41975	35015	36691	40269	41064
1:45:00	37.0	41992	34301	36134	40213	40836
1:50:00	37.0	41796	33460	35426	40032	41073
1:55:00	37.0	41789	32574	34710	40068	40942
2:00:00	37.0	41954	31940	34166	40064	40900
2:05:00	37.0	41797	31276	33565	40070	40821
2:10:00	37.0	41923	30616	33024	39950	40652
2:15:00	37.0	41604	29880	32433	39952	40704
2:20:00	36.9	41628	29119	31922	39883	40522
2:25:00	37.0	41613	28621	31413	39868	40659
2:30:00	37.0	41782	27908	30806	39880	40516
2:35:00	37.0	41699	27372	30432	39751	40415
2:40:00	37.0	41610	26942	29998	39781	40379
2:45:00	37.0	41633	26396	29454	39814	40344
2:50:00	37.0	41628	25834	28968	39637	40454
2:55:00	37.0	41612	25389	28752	39785	40378
3:00:00	37.0	41463	24860	28178	39589	40437
3:05:00	37.0	41334	24372	27867	39672	40413
3:10:00	37.0	41587	23981	27330	39445	40273
3:15:00	37.0	41522	23479	27084	39478	40089
3:20:00	37.0	41608	23186	26770	39303	39998
3:25:00	37.0	41428	22791	26298	39465	40166
3:30:00	37.0	41422	22367	26157	39578	40156
3:35:00	37.0	41321	22069	25760	39394	40180
3:40:00	36.9	41392	21661	25433	39382	40018
3:45:00	37.0	41381	21327	25031	39279	39935
3:50:00	37.0	41291	21113	24848	39315	40025
3:55:00	37.0	41343	20862	24528	39283	39886
4:00:00	37.0	41193	20526	24376	39281	39872
4:05:00	37.0	41155	20210	24093	39133	39827
4:10:00	37.0	41331	19991	23800	39037	39890
4:15:00	37.0	41147	19655	23560	39261	39784
4:20:00	37.0	41198	19483	23337	39210	39888
4:25:00	37.0	41085	19214	23098	39068	39839
4:30:00	37.0	41091	19026	22910	39182	39640
4:35:00	37.0	41004	18772	22674	38918	39624
4:40:00	37.0	41140	18597	22471	38990	39595
4:45:00	37.0	41090	18336	22321	38949	39807
4:50:00	37.0	41282	18125	22183	38905	39500
4:55:00	37.0	41037	17992	21994	39004	39319
5:00:00	37.0	40975	17828	21900	38957	39486
5:05:00	37.0	41044	17655	21595	38995	39518
5:10:00	37.0	40996	17456	21428	38874	39470
5:15:00	37.0	41115	17223	21311	38770	39297
5:20:00	36.9	41050	17150	21157	38898	39355
5:25:00	37.0	40903	17022	21041	38810	39283
5:30:00	37.0	40989	16975	20899	38613	39353
5:35:00	37.0	40874	16780	20780	38858	39142
5:40:00	37.0	40799	16677	20676	38857	39422
5:45:00	37.0	40709	16494	20465	38676	39365
5:50:00	36.9	40950	16439	20331	38823	39303
5:55:00	37.0	40961	16301	20239	38684	39334
6:00:00	37.0	40979	16208	20188	38705	39252

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	C10	C11	C12	C13	C14
0:00:03	36.9	20742	21287	21140	16074	21684
0:05:03	37.0	18772	19433	19126	12843	18017
0:10:03	37.0	17965	18559	18337	11688	17029
0:15:03	37.0	17557	18210	17982	12197	16603
0:20:03	36.9	17432	18057	17805	12032	16428
0:25:03	37.0	17347	17915	17844	11801	16426
0:30:03	36.9	17260	17868	17769	11957	16518
0:35:03	37.0	17283	17789	17576	11586	16427
0:40:03	37.0	17240	17593	17393	11632	16569
0:45:03	37.0	17273	17413	17298	11708	16503
0:50:03	37.0	17181	17025	17027	12048	16523
0:55:03	37.0	17146	16706	16679	11657	16434
1:00:03	37.0	17071	16388	16573	12350	16435
1:05:03	37.0	17210	15979	16282	11850	16449
1:10:03	37.0	17144	15538	15916	11360	16505
1:15:03	37.0	17075	15185	15645	11280	16540
1:20:03	37.0	17109	14808	15269	11299	16636
1:25:03	37.0	17071	14361	14971	11491	16695
1:30:03	37.0	17033	14037	14659	12079	16619
1:35:03	37.0	16995	13638	14287	11600	16609
1:40:03	37.0	17015	13244	14014	12457	16670
1:45:03	37.0	17052	12899	13767	12284	16765
1:50:03	37.0	17012	12528	13442	12162	16578
1:55:03	37.0	17011	12225	13156	11645	16666
2:00:03	37.0	16959	11908	12861	11892	16612
2:05:03	37.0	16982	11628	12653	11847	16606
2:10:03	37.0	16994	11269	12325	12182	16592
2:15:03	37.0	16961	11034	12100	11791	16747
2:20:03	36.9	16913	10751	11891	11967	16705
2:25:03	37.0	16970	10451	11711	11845	16715
2:30:03	37.0	16891	10210	11465	11884	16684
2:35:03	36.9	16907	10002	11306	13291	16684
2:40:03	37.0	16891	9777	11108	13673	16609
2:45:03	37.0	16808	9558	10902	13569	16639
2:50:03	37.0	16783	9376	10693	13554	16747
2:55:03	36.9	16904	9159	10516	13087	16687
3:00:03	37.0	16898	8968	10332	12040	16596
3:05:03	37.0	16852	8759	10183	12523	16659
3:10:03	37.0	16844	8634	10059	12902	16636
3:15:03	37.0	16737	8488	9885	13028	16664
3:20:03	37.0	16787	8332	9744	12997	16662
3:25:03	37.0	16816	8120	9643	12416	16785
3:30:03	37.0	16802	7998	9489	12548	16829
3:35:03	37.0	16716	7847	9344	11934	16646
3:40:03	37.0	16777	7709	9233	11745	16738
3:45:03	37.0	16849	7587	9143	12016	16629
3:50:03	36.9	16791	7479	8951	12690	16820
3:55:03	37.0	16686	7352	8899	12706	16646
4:00:03	37.0	16693	7232	8714	13057	16744
4:05:03	37.0	16712	7119	8656	12365	16683
4:10:03	37.0	16701	7079	8561	12312	16687
4:15:03	37.0	16688	6934	8509	12377	16715
4:20:03	37.0	16786	6874	8357	12194	16745
4:25:03	37.0	16655	6743	8373	11930	16593
4:30:03	37.0	16653	6676	8236	12169	16762
4:35:03	37.0	16611	6583	8141	13027	16861
4:40:03	37.0	16755	6507	8056	13930	16754
4:45:03	37.0	16610	6481	7979	13720	16789
4:50:03	37.0	16548	6376	7937	13738	16758
4:55:03	37.0	16726	6282	7910	13074	16746
5:00:03	37.0	16623	6250	7831	12566	16815
5:05:03	36.9	16631	6180	7673	13229	16701
5:10:03	37.0	16631	6136	7655	12770	16716
5:15:03	36.9	16547	6052	7610	12542	16725
5:20:03	37.0	16574	5983	7588	13651	16748
5:25:03	37.0	16573	5940	7516	14501	16742
5:30:03	37.0	16613	5939	7429	14764	16710
5:35:03	37.0	16570	5842	7399	15077	16725
5:40:03	37.0	16596	5802	7332	15216	16779
5:45:03	37.0	16546	5764	7335	15027	16975
5:50:03	37.0	16584	5718	7215	14940	16947
5:55:03	37.0	16557	5671	7215	15003	16825
6:00:03	37.0	16600	5612	7181	14950	16840

Results

Well ID	SPL1	SPL2	SPL3	SPL4	SPL5	
Well	C10	C11	C12	C13	C14	
Max V [GFP-F-G35:485/20,528/20]	-277700.000	-270480.000	-269380.000	-410440.000	-429260.000	
R-Squared [GFP-F-G35:485/20,528/20]	0.815	0.820	0.810	0.788	0.772	
t at Max V [GFP-F-G35:485/20,528/20]	0:10:00	0:10:00	0:10:00	0:10:00	0:10:00	
Lagtime [GFP-F-G35:485/20,528/20]	?????	?????	?????	?????	?????	
Max V [GFP-M-G100:485,528]	-156700.000	-153660.000	-156280.000	-174600.000	-238520.000	
R-Squared [GFP-M-G100:485,528]	0.828	0.835	0.822	0.597	0.751	
t at Max V [GFP-M-G100:485,528]	0:10:03	0:10:03	0:10:03	0:10:03	0:10:03	
Lagtime [GFP-M-G100:485,528]	?????	?????	?????	?????	?????	

