,[Potassium glutamate] (mM),[Magnesium acetate] (mM),[ATP] (mM),[GTP] (mM),[Creatine phosphate] (mM),[Amino acid mix] (mM),[tRNA] (ug/uL),[RNase Inhib] (U/mL),[PolyP] (mM),[PPK] (uM),[DNA] (nM),[Ribosome] (uM),[PMix] (mg/mL),[PEG] (%),Experiment,Product,Pmix is NEB,[HEPES] (mM),[CTP] (mM),[UTP] (mM),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM)
Control,100.0,8.0,2.0,2.0,20.0,0.3,3.5,2000.0,0.0,0.0,3.0,1.8,1.8,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-1,99.67625000000001,19.23,1.6917000000000002,2.9059999999999997,8.937500000000002,0.2557993749999999,5.4425,2000.0,36.87,0.23780400000000002,3.0,5.570468999999999,1.7814225,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-2,113.78750000000002,22.24625,1.9907000000000001,2.9710000000000005,18.813999999999997,0.24126862499999996,4.926915,2000.0,49.160000000000004,0.0,3.0,4.341582000000001,2.016705,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-3,93.21875,30.981249999999996,1.2011,2.6982,21.623,0.15303762499999998,4.254354999999999,2000.0,64.5225,0.23780400000000002,3.0,5.303123999999999,1.5497549999999998,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-4,111.59875000000001,18.965,1.6165000000000003,2.6833000000000005,30.059999999999995,0.07933737500000002,4.759194999999999,2000.0,41.478750000000005,0.7134119999999999,3.0,5.301323999999999,1.829085,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-5,134.64374999999998,12.461249999999998,2.4077,3.4467,31.479499999999994,0.0574665,6.06375,2000.0,13.82625,0.47560800000000003,3.0,6.371604,2.2424849999999994,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-6,126.33375000000002,10.852500000000001,1.1124,1.7410999999999999,49.71300000000001,0.195583375,5.06198,2000.0,1.5362500000000001,2.615844,3.0,6.310034999999998,1.9128224999999996,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-7,144.67999999999998,12.1975,1.1898,1.2643,69.506,0.23318100000000003,4.086810000000001,2000.0,4.60875,1.1890200000000002,3.0,4.550958,2.1603749999999997,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-8,88.79500000000002,29.70375,1.6249000000000002,2.931,3.2895000000000003,0.3217110000000001,4.494910000000001,2000.0,64.5225,0.47560800000000003,3.0,4.1259060000000005,1.67163,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-9,112.51000000000002,27.908750000000005,2.2004,3.293200000000001,23.032500000000002,0.12367712500000001,4.169095,2000.0,61.45,0.23780400000000002,3.0,3.592116,1.9774050000000005,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-10,89.17,44.31249999999999,1.7180000000000004,3.4519,3.2995000000000005,0.18973824999999997,3.8273200000000007,2000.0,130.58125,0.23780400000000002,3.0,3.164364000000001,1.7143125,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-11,101.61375000000002,35.55,1.2966,2.3802000000000003,27.221,0.28456187499999996,3.420585,2000.0,79.885,1.1890200000000002,3.0,3.2677019999999994,1.7415374999999997,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-12,110.00250000000001,55.88000000000001,3.5569,5.858,10.327,0.18943925,4.241160000000001,2000.0,30.725,0.7134119999999999,3.0,4.766634,2.0487375,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-13,90.65375,13.341250000000002,0.9414999999999998,1.6389,8.917499999999999,0.4610238750000001,5.06716,2000.0,29.188750000000002,0.7134119999999999,3.0,4.8201030000000005,1.6241324999999998,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-14,166.75,37.48375,2.2299999999999995,3.0406,82.21149999999997,0.049976875,3.398045,2000.0,46.087500000000006,0.7134119999999999,3.0,4.0180679999999995,2.5262849999999992,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-15,96.33624999999999,51.78125000000001,2.2855,4.3447,18.793999999999993,0.064806625,3.3169150000000003,2000.0,84.49375,0.47560800000000003,3.0,4.018967999999999,1.7007899999999998,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-16,98.25125,50.34625000000001,3.1921999999999997,5.5048,6.088499999999999,0.18928974999999998,4.4373000000000005,2000.0,15.3625,0.9512160000000001,3.0,5.5142999999999995,1.8213825,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
GES-R4.2-17,105.70875000000002,13.665000000000001,1.34,2.1084,24.312,0.33459724999999985,5.081335,2000.0,3.0725000000000002,3.3292560000000004,3.0,5.558768999999999,1.7625899999999997,0,20260519-DiscoveryPlate-R3,deGFP,False,50.0,1.0,1.0,1.0,0.02,2.0
