VERSION=1.3
ExportFileName=PM AH 16_2025-05-14_13-24-16_labchip_PURE_Data_E3
SampleLabel=E3
SampleName=PM AH 16
SampleComment=
SampleAreaConcRatio=0.010927
SampleLowerMarkerTime=12.25
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.25,12.35,12.55,15.15,15.53,17.35,17.67,17.90,18.30,18.43,18.53,18.75,19.03,19.37,19.75,20.07,20.68,21.02,21.40,21.63,21.87,22.27,22.70,22.90,23.22,23.65,23.88,24.53,25.47,26.07,26.28,27.15
SamplePeakSizes=1.219,1.320,1.538,7.171,8.535,17.206,19.106,20.582,23.261,24.195,24.910,26.499,28.660,31.321,34.539,37.324,43.068,46.346,50.263,52.723,55.238,59.678,64.664,67.027,70.843,76.212,79.172,87.660,100.435,108.986,112.135,125.034
SamplePeakQuantities=,,,,,7.9676,2.7053,5.2752,57.6231,42.8055,46.8537,14.5757,12.7058,5.4742,23.5343,148.2810,147.2962,295.5356,59.1586,27.6902,9.4751,132.3230,16.4079,83.4983,14.3618,3.9978,15.8065,1.7401,62.0516,25.1037,13.7221,8.4154
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:52:43 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,57.391,0.00
0.017,57.391,0.00
0.033,57.402,0.00
0.050,57.078,0.00
0.067,56.957,0.00
0.083,56.957,0.00
0.100,56.996,0.00
0.117,56.833,0.00
0.133,56.640,0.00
0.150,56.446,0.00
0.167,56.351,0.00
0.183,56.185,0.00
0.200,55.966,0.00
0.217,55.860,0.00
0.233,55.865,0.00
0.250,55.806,0.00
0.267,55.585,0.00
0.283,55.142,0.00
0.300,54.663,0.00
0.317,54.299,0.00
0.333,54.027,0.00
0.350,53.704,0.00
0.367,53.257,0.00
0.383,52.723,0.00
0.400,52.028,0.00
0.417,51.258,0.00
0.433,50.381,0.00
0.450,49.500,0.00
0.467,48.667,0.00
0.483,47.879,0.00
0.500,47.104,0.00
0.517,46.261,0.00
0.533,45.400,0.00
0.550,44.532,0.00
0.567,43.688,0.00
0.583,42.969,0.00
0.600,42.272,0.00
0.617,41.589,0.00
0.633,40.952,0.00
0.650,40.294,0.00
0.667,39.655,0.00
0.683,38.969,0.00
0.700,38.288,0.00
0.717,37.702,0.00
0.733,37.115,0.00
0.750,36.579,0.00
0.767,36.025,0.00
0.783,35.488,0.00
0.800,34.948,0.00
0.817,34.417,0.00
0.833,33.960,0.00
0.850,33.478,0.00
0.867,33.047,0.00
0.883,32.734,0.00
0.900,32.386,0.00
0.917,32.002,0.00
0.933,31.573,0.00
0.950,31.139,0.00
0.967,30.757,0.00
0.983,30.492,0.00
1.000,30.282,0.00
1.017,30.024,0.00
1.033,29.677,0.00
1.050,29.305,0.00
1.067,28.933,0.00
1.083,28.637,0.00
1.100,28.306,0.00
1.117,27.901,0.00
1.133,27.551,0.00
1.150,27.275,0.00
1.167,27.076,0.00
1.183,26.896,0.00
1.200,26.685,0.00
1.217,26.408,0.00
1.233,26.061,0.00
1.250,25.771,0.00
1.267,25.520,0.00
1.283,25.321,0.00
1.300,25.186,0.00
1.317,25.009,0.00
1.333,24.773,0.00
1.350,24.501,0.00
1.367,24.328,0.00
1.383,24.186,0.00
1.400,24.034,0.00
1.417,23.908,0.00
1.433,23.747,0.00
1.450,23.597,0.00
1.467,23.446,0.00
1.483,23.268,0.00
1.500,23.035,0.00
1.517,22.769,0.00
1.533,22.554,0.00
1.550,22.359,0.00
1.567,22.175,0.00
1.583,21.991,0.00
1.600,21.792,0.00
1.617,21.618,0.00
1.633,21.496,0.00
1.650,21.410,0.00
1.667,21.252,0.00
1.683,21.081,0.00
1.700,20.965,0.00
1.717,20.877,0.00
1.733,20.757,0.00
1.750,20.550,0.00
1.767,20.346,0.00
1.783,20.208,0.00
1.800,20.179,0.00
1.817,20.136,0.00
1.833,19.993,0.00
1.850,19.759,0.00
1.867,19.521,0.00
1.883,19.355,0.00
1.900,19.223,0.00
1.917,19.035,0.00
1.933,18.844,0.00
1.950,18.654,0.00
1.967,18.525,0.00
1.983,18.423,0.00
2.000,18.332,0.00
2.017,18.169,0.00
2.033,17.975,0.00
2.050,17.803,0.00
2.067,17.628,0.00
2.083,17.476,0.00
2.100,17.372,0.00
2.117,17.275,0.00
2.133,17.167,0.00
2.150,17.033,0.00
2.167,16.884,0.00
2.183,16.719,0.00
2.200,16.596,0.00
2.217,16.517,0.00
2.233,16.416,0.00
2.250,16.312,0.00
2.267,16.176,0.00
2.283,16.003,0.00
2.300,15.789,0.00
2.317,15.622,0.00
2.333,15.544,0.00
2.350,15.470,0.00
2.367,15.382,0.00
2.383,15.281,0.00
2.400,15.197,0.00
2.417,15.171,0.00
2.433,15.125,0.00
2.450,15.033,0.00
2.467,14.872,0.00
2.483,14.695,0.00
2.500,14.599,0.00
2.517,14.516,0.00
2.533,14.403,0.00
2.550,14.306,0.00
2.567,14.227,0.00
2.583,14.171,0.00
2.600,14.137,0.00
2.617,14.099,0.00
2.633,13.983,0.00
2.650,13.807,0.00
2.667,13.675,0.00
2.683,13.580,0.00
2.700,13.501,0.00
2.717,13.431,0.00
2.733,13.331,0.00
2.750,13.163,0.00
2.767,12.964,0.00
2.783,12.803,0.00
2.800,12.667,0.00
2.817,12.547,0.00
2.833,12.462,0.00
2.850,12.387,0.00
2.867,12.285,0.00
2.883,12.147,0.00
2.900,12.034,0.00
2.917,11.932,0.00
2.933,11.820,0.00
2.950,11.716,0.00
2.967,11.593,0.00
2.983,11.455,0.00
3.000,11.356,0.00
3.017,11.283,0.00
3.033,11.205,0.00
3.050,11.129,0.00
3.067,11.044,0.00
3.083,10.970,0.00
3.100,10.896,0.00
3.117,10.773,0.00
3.133,10.618,0.00
3.150,10.471,0.00
3.167,10.366,0.00
3.183,10.306,0.00
3.200,10.269,0.00
3.217,10.219,0.00
3.233,10.082,0.00
3.250,9.895,0.00
3.267,9.708,0.00
3.283,9.569,0.00
3.300,9.516,0.00
3.317,9.546,0.00
3.333,9.577,0.00
3.350,9.487,0.00
3.367,9.209,0.00
3.383,8.719,0.00
3.400,8.067,0.00
3.417,7.386,0.00
3.433,6.742,0.00
3.450,6.189,0.00
3.467,5.737,0.00
3.483,5.392,0.00
3.500,5.128,0.00
3.517,4.859,0.00
3.533,4.611,0.00
3.550,4.427,0.00
3.567,4.309,0.00
3.583,4.265,0.00
3.600,4.206,0.00
3.617,4.104,0.00
3.633,4.006,0.00
3.650,3.929,0.00
3.667,3.886,0.00
3.683,3.813,0.00
3.700,3.728,0.00
3.717,3.652,0.00
3.733,3.583,0.00
3.750,3.537,0.00
3.767,3.503,0.00
3.783,3.424,0.00
3.800,3.310,0.00
3.817,3.184,0.00
3.833,3.109,0.00
3.850,3.090,0.00
3.867,3.107,0.00
3.883,3.111,0.00
3.900,3.078,0.00
3.917,2.999,0.00
3.933,2.929,0.00
3.950,2.840,0.00
3.967,2.749,0.00
3.983,2.702,0.00
4.000,2.673,0.00
4.017,2.598,0.00
4.033,2.486,0.00
4.050,2.429,0.00
4.067,2.452,0.00
4.083,2.514,0.00
4.100,2.528,0.00
4.117,2.455,0.00
4.133,2.357,0.00
4.150,2.287,0.00
4.167,2.276,0.00
4.183,2.269,0.00
4.200,2.259,0.00
4.217,2.246,0.00
4.233,2.226,0.00
4.250,2.179,0.00
4.267,2.058,0.00
4.283,1.891,0.00
4.300,1.764,0.00
4.317,1.700,0.00
4.333,1.675,0.00
4.350,1.668,0.00
4.367,1.625,0.00
4.383,1.548,0.00
4.400,1.537,0.00
4.417,1.545,0.00
4.433,1.523,0.00
4.450,1.443,0.00
4.467,1.352,0.00
4.483,1.259,0.00
4.500,1.164,0.00
4.517,1.156,0.00
4.533,1.146,0.00
4.550,1.129,0.00
4.567,1.151,0.00
4.583,1.144,0.00
4.600,1.168,0.00
4.617,1.244,0.00
4.633,1.333,0.00
4.650,1.356,0.00
4.667,1.283,0.00
4.683,1.197,0.00
4.700,1.140,0.00
4.717,1.127,0.00
4.733,1.138,0.00
4.750,1.131,0.00
4.767,1.114,0.00
4.783,1.189,0.00
4.800,1.371,0.00
4.817,1.603,0.00
4.833,1.794,0.00
4.850,1.925,0.00
4.867,2.012,0.00
4.883,2.107,0.00
4.900,2.257,0.00
4.917,2.439,0.00
4.933,2.612,0.00
4.950,2.833,0.00
4.967,3.043,0.00
4.983,3.296,0.00
5.000,3.532,0.00
5.017,3.752,0.00
5.033,3.961,0.00
5.050,4.195,0.00
5.067,4.414,0.00
5.083,4.607,0.00
5.100,4.800,0.00
5.117,5.017,0.00
5.133,5.216,0.00
5.150,5.455,0.00
5.167,5.613,0.00
5.183,5.709,0.00
5.200,5.823,0.00
5.217,5.955,0.00
