VERSION=1.3
ExportFileName=PM HZ 16_2025-05-14_13-24-16_labchip_PURE_Data_E4
SampleLabel=E4
SampleName=PM HZ 16
SampleComment=
SampleAreaConcRatio=0.012623
SampleLowerMarkerTime=12.28
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.28,15.32,15.67,17.42,17.73,17.98,18.28,18.40,18.55,18.65,18.87,19.00,19.17,19.48,19.85,20.20,20.80,21.17,21.57,22.42,23.08,23.37,24.05,25.65,26.23
SamplePeakSizes=1.298,7.568,8.814,16.999,18.845,20.382,22.322,23.104,24.133,24.833,26.390,27.375,28.634,31.115,34.130,37.149,42.641,46.191,50.229,59.362,67.031,70.421,78.901,100.336,108.657
SamplePeakQuantities=,,,8.8585,2.3476,4.5572,6.5407,50.2170,63.3248,73.1292,14.0338,3.5262,10.7998,6.0707,26.8939,188.9382,191.1575,248.7040,114.8942,182.5261,141.0516,14.6793,27.8277,139.7008,47.6696
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:58:58 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,36.292,0.00
0.017,36.292,0.00
0.033,36.292,0.00
0.050,36.292,0.00
0.067,36.292,0.00
0.083,36.292,0.00
0.100,36.290,0.00
0.117,36.302,0.00
0.133,36.342,0.00
0.150,36.491,0.00
0.167,36.661,0.00
0.183,36.732,0.00
0.200,36.643,0.00
0.217,36.480,0.00
0.233,36.328,0.00
0.250,36.228,0.00
0.267,36.185,0.00
0.283,36.065,0.00
0.300,36.066,0.00
0.317,36.332,0.00
0.333,36.787,0.00
0.350,37.047,0.00
0.367,36.784,0.00
0.383,36.104,0.00
0.400,35.288,0.00
0.417,34.680,0.00
0.433,34.204,0.00
0.450,33.725,0.00
0.467,33.138,0.00
0.483,32.484,0.00
0.500,31.884,0.00
0.517,31.228,0.00
0.533,30.410,0.00
0.550,29.494,0.00
0.567,28.455,0.00
0.583,27.446,0.00
0.600,26.536,0.00
0.617,25.647,0.00
0.633,24.798,0.00
0.650,23.975,0.00
0.667,23.170,0.00
0.683,22.382,0.00
0.700,21.539,0.00
0.717,20.772,0.00
0.733,20.047,0.00
0.750,19.483,0.00
0.767,18.962,0.00
0.783,18.339,0.00
0.800,17.619,0.00
0.817,16.902,0.00
0.833,16.329,0.00
0.850,15.867,0.00
0.867,15.370,0.00
0.883,14.857,0.00
0.900,14.336,0.00
0.917,13.884,0.00
0.933,13.504,0.00
0.950,13.100,0.00
0.967,12.602,0.00
0.983,12.136,0.00
1.000,11.753,0.00
1.017,11.477,0.00
1.033,11.164,0.00
1.050,10.821,0.00
1.067,10.458,0.00
1.083,10.110,0.00
1.100,9.808,0.00
1.117,9.474,0.00
1.133,9.142,0.00
1.150,8.857,0.00
1.167,8.637,0.00
1.183,8.463,0.00
1.200,8.254,0.00
1.217,8.017,0.00
1.233,7.741,0.00
1.250,7.471,0.00
1.267,7.215,0.00
1.283,6.962,0.00
1.300,6.758,0.00
1.317,6.562,0.00
1.333,6.348,0.00
1.350,6.147,0.00
1.367,5.974,0.00
1.383,5.841,0.00
1.400,5.726,0.00
1.417,5.620,0.00
1.433,5.444,0.00
1.450,5.236,0.00
1.467,5.028,0.00
1.483,4.808,0.00
1.500,4.639,0.00
1.517,4.472,0.00
1.533,4.287,0.00
1.550,4.174,0.00
1.567,4.129,0.00
1.583,4.097,0.00
1.600,4.038,0.00
1.617,3.943,0.00
1.633,3.824,0.00
1.650,3.702,0.00
1.667,3.590,0.00
1.683,3.489,0.00
1.700,3.365,0.00
1.717,3.258,0.00
1.733,3.156,0.00
1.750,3.016,0.00
1.767,2.908,0.00
1.783,2.777,0.00
1.800,2.690,0.00
1.817,2.593,0.00
1.833,2.503,0.00
1.850,2.436,0.00
