VERSION=1.3
ExportFileName=PM HZ 8_2025-05-14_13-24-16_labchip_PURE_Data_D4
SampleLabel=D4
SampleName=PM HZ 8
SampleComment=
SampleAreaConcRatio=0.012341
SampleLowerMarkerTime=12.25
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.25,15.28,15.63,16.37,16.83,17.38,17.70,17.95,18.37,18.50,18.60,18.82,18.97,19.12,19.43,19.80,20.15,20.75,21.08,21.50,22.35,23.00,23.32,23.72,23.98,24.60,24.82,25.58,25.85,26.17,27.25
SamplePeakSizes=1.298,7.611,8.867,11.915,14.160,17.120,18.981,20.532,23.277,24.198,24.902,26.468,27.584,28.725,31.221,34.254,37.292,42.819,46.061,50.282,59.459,66.969,70.777,75.721,79.098,87.149,90.056,100.647,104.440,109.012,125.195
SamplePeakQuantities=,,,3.6632,2.6569,21.1091,4.5474,10.2577,114.4582,111.7401,154.4893,26.9874,7.3389,22.0151,12.5554,48.5334,363.1296,409.0389,498.1755,226.0076,394.4867,308.4085,27.3306,18.5245,45.2653,4.9846,8.8920,113.5123,27.0105,95.0971,14.6228
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:58:16 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,28.868,0.00
0.017,28.868,0.00
0.033,28.868,0.00
0.050,28.868,0.00
0.067,28.868,0.00
0.083,28.868,0.00
0.100,28.882,0.00
0.117,28.826,0.00
0.133,28.799,0.00
0.150,28.851,0.00
0.167,28.833,0.00
0.183,28.829,0.00
0.200,28.987,0.00
0.217,29.220,0.00
0.233,29.265,0.00
0.250,29.127,0.00
0.267,29.159,0.00
0.283,29.375,0.00
0.300,29.745,0.00
0.317,29.924,0.00
0.333,29.519,0.00
0.350,28.794,0.00
0.367,28.069,0.00
0.383,27.681,0.00
0.400,27.359,0.00
0.417,26.902,0.00
0.433,26.462,0.00
0.450,25.938,0.00
0.467,25.409,0.00
0.483,24.910,0.00
0.500,24.285,0.00
0.517,23.497,0.00
0.533,22.651,0.00
0.550,21.815,0.00
0.567,20.992,0.00
0.583,20.176,0.00
0.600,19.300,0.00
0.617,18.432,0.00
0.633,17.583,0.00
0.650,16.759,0.00
0.667,16.062,0.00
0.683,15.426,0.00
0.700,14.799,0.00
0.717,14.141,0.00
0.733,13.538,0.00
0.750,12.881,0.00
0.767,12.211,0.00
0.783,11.657,0.00
0.800,11.158,0.00
0.817,10.661,0.00
0.833,10.256,0.00
0.850,9.818,0.00
0.867,9.331,0.00
0.883,8.826,0.00
0.900,8.460,0.00
0.917,8.100,0.00
0.933,7.786,0.00
0.950,7.502,0.00
0.967,7.162,0.00
0.983,6.824,0.00
1.000,6.507,0.00
1.017,6.229,0.00
1.033,5.920,0.00
1.050,5.603,0.00
1.067,5.351,0.00
1.083,5.073,0.00
1.100,4.833,0.00
1.117,4.600,0.00
1.133,4.400,0.00
1.150,4.277,0.00
1.167,4.184,0.00
1.183,4.050,0.00
1.200,3.834,0.00
1.217,3.565,0.00
1.233,3.303,0.00
1.250,3.055,0.00
1.267,2.837,0.00
1.283,2.633,0.00
1.300,2.468,0.00
1.317,2.383,0.00
1.333,2.296,0.00
1.350,2.163,0.00
1.367,2.074,0.00
1.383,1.983,0.00
1.400,1.888,0.00
1.417,1.756,0.00
1.433,1.609,0.00
1.450,1.467,0.00
1.467,1.339,0.00
1.483,1.219,0.00
1.500,1.076,0.00
1.517,0.993,0.00
1.533,0.983,0.00
1.550,0.900,0.00
1.567,0.744,0.00
1.583,0.558,0.00
1.600,0.443,0.00
1.617,0.420,0.00
1.633,0.391,0.00
1.650,0.308,0.00
1.667,0.184,0.00
1.683,0.080,0.00
1.700,-0.041,0.00
1.717,-0.157,0.00
1.733,-0.217,0.00
1.750,-0.283,0.00
1.767,-0.330,0.00
1.783,-0.411,0.00
1.800,-0.530,0.00
1.817,-0.600,0.00
1.833,-0.639,0.00
1.850,-0.703,0.00
1.867,-0.831,0.00
1.883,-0.930,0.00
1.900,-0.978,0.00
1.917,-0.985,0.00
1.933,-0.980,0.00
1.950,-1.036,0.00
1.967,-1.120,0.00
1.983,-1.187,0.00
2.000,-1.249,0.00
2.017,-1.258,0.00
2.033,-1.229,0.00
2.050,-1.214,0.00
2.067,-1.265,0.00
2.083,-1.343,0.00
2.100,-1.432,0.00
2.117,-1.534,0.00
2.133,-1.637,0.00
2.150,-1.747,0.00
2.167,-1.860,0.00
2.183,-1.927,0.00
2.200,-1.990,0.00
2.217,-2.054,0.00
2.233,-2.078,0.00
2.250,-2.102,0.00
2.267,-2.164,0.00
2.283,-2.263,0.00
2.300,-2.380,0.00
2.317,-2.484,0.00
2.333,-2.519,0.00
2.350,-2.552,0.00
2.367,-2.627,0.00
2.383,-2.688,0.00
2.400,-2.686,0.00
2.417,-2.766,0.00
2.433,-2.898,0.00
2.450,-3.030,0.00
2.467,-3.155,0.00
2.483,-3.277,0.00
2.500,-3.337,0.00
2.517,-3.427,0.00
2.533,-3.473,0.00
2.550,-3.418,0.00
2.567,-3.322,0.00
2.583,-3.286,0.00
2.600,-3.288,0.00
2.617,-3.357,0.00
2.633,-3.362,0.00
2.650,-3.356,0.00
2.667,-3.364,0.00
2.683,-3.432,0.00
2.700,-3.506,0.00
2.717,-3.565,0.00
2.733,-3.655,0.00
2.750,-3.733,0.00
2.767,-3.832,0.00
2.783,-3.935,0.00
2.800,-3.936,0.00
2.817,-3.943,0.00
2.833,-3.978,0.00
2.850,-3.998,0.00
2.867,-4.014,0.00
2.883,-3.996,0.00
2.900,-3.993,0.00
2.917,-4.056,0.00
2.933,-4.137,0.00
2.950,-4.241,0.00
2.967,-4.310,0.00
2.983,-4.351,0.00
3.000,-4.443,0.00
3.017,-4.529,0.00
3.033,-4.616,0.00
3.050,-4.634,0.00
3.067,-4.587,0.00
3.083,-4.540,0.00
3.100,-4.536,0.00
3.117,-4.616,0.00
3.133,-4.726,0.00
3.150,-4.834,0.00
3.167,-4.900,0.00
3.183,-4.871,0.00
3.200,-4.926,0.00
3.217,-5.048,0.00
3.233,-5.165,0.00
3.250,-5.235,0.00
3.267,-5.269,0.00
3.283,-5.260,0.00
3.300,-5.236,0.00
3.317,-5.228,0.00
3.333,-5.255,0.00
3.350,-5.286,0.00
3.367,-5.390,0.00
3.383,-5.427,0.00
3.400,-5.427,0.00
3.417,-5.542,0.00
3.433,-5.903,0.00
3.450,-6.451,0.00
3.467,-7.055,0.00
3.483,-7.616,0.00
3.500,-8.053,0.00
3.517,-8.378,0.00
3.533,-8.649,0.00
3.550,-8.864,0.00
3.567,-9.082,0.00
3.583,-9.357,0.00
3.600,-9.571,0.00
3.617,-9.686,0.00
3.633,-9.788,0.00
3.650,-9.893,0.00
3.667,-9.945,0.00
3.683,-9.946,0.00
3.700,-9.900,0.00
3.717,-9.856,0.00
3.733,-9.854,0.00
3.750,-9.925,0.00
3.767,-9.996,0.00
3.783,-10.078,0.00
3.800,-10.147,0.00
3.817,-10.162,0.00
3.833,-10.130,0.00
3.850,-10.058,0.00
3.867,-9.986,0.00
3.883,-9.975,0.00
3.900,-9.979,0.00
3.917,-9.975,0.00
3.933,-10.002,0.00
3.950,-10.074,0.00
3.967,-10.131,0.00
3.983,-10.177,0.00
4.000,-10.186,0.00
4.017,-10.121,0.00
4.033,-10.063,0.00
4.050,-10.052,0.00
4.067,-10.054,0.00
4.083,-10.079,0.00
4.100,-10.130,0.00
4.117,-10.146,0.00
4.133,-10.111,0.00
4.150,-10.086,0.00
4.167,-10.084,0.00
4.183,-10.065,0.00
4.200,-10.037,0.00
4.217,-10.024,0.00
4.233,-10.042,0.00
4.250,-10.098,0.00
4.267,-10.121,0.00
4.283,-10.105,0.00
4.300,-10.118,0.00
4.317,-10.152,0.00
4.333,-10.191,0.00
4.350,-10.180,0.00
4.367,-10.113,0.00
4.383,-10.074,0.00
4.400,-10.118,0.00
4.417,-10.189,0.00
4.433,-10.224,0.00
4.450,-10.255,0.00
4.467,-10.297,0.00
4.483,-10.297,0.00
4.500,-10.256,0.00
4.517,-10.211,0.00
4.533,-10.113,0.00
4.550,-10.044,0.00
4.567,-10.021,0.00
4.583,-9.990,0.00
4.600,-9.933,0.00
4.617,-9.848,0.00
4.633,-9.766,0.00
4.650,-9.715,0.00
4.667,-9.713,0.00
4.683,-9.750,0.00
4.700,-9.692,0.00
4.717,-9.614,0.00
4.733,-9.547,0.00
4.750,-9.517,0.00
4.767,-9.502,0.00
4.783,-9.464,0.00
