VERSION=1.3
ExportFileName=PM TG 16_2025-05-14_13-24-16_labchip_PURE_Data_E9
SampleLabel=E9
SampleName=PM TG 16
SampleComment=
SampleAreaConcRatio=0.014476
SampleLowerMarkerTime=12.15
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.15,15.18,15.55,17.23,17.83,18.10,18.22,18.35,18.47,18.67,18.82,18.97,19.27,19.65,19.98,20.57,20.93,21.33,22.18,22.77,23.10,23.75,25.33,25.90
SamplePeakSizes=1.393,7.869,9.213,17.258,20.910,22.669,23.465,24.395,25.225,26.687,27.814,28.968,31.357,34.563,37.492,42.927,46.543,50.661,59.995,66.846,70.918,79.177,100.944,109.262
SamplePeakQuantities=,,,8.3981,4.1259,6.7181,59.8946,59.9334,78.0514,15.4555,3.7232,9.9507,6.1501,28.7012,196.8730,198.4893,390.1767,115.1623,178.2478,128.2844,15.7983,19.4538,62.5897,42.1755
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:28:50 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,28.548,0.00
0.017,28.548,0.00
0.033,28.548,0.00
0.050,28.548,0.00
0.067,28.548,0.00
0.083,28.548,0.00
0.100,28.548,0.00
0.117,28.265,0.00
0.133,28.652,0.00
0.150,29.019,0.00
0.167,29.193,0.00
0.183,29.066,0.00
0.200,28.752,0.00
0.217,28.394,0.00
0.233,28.134,0.00
0.250,27.943,0.00
0.267,27.835,0.00
0.283,27.891,0.00
0.300,27.944,0.00
0.317,28.068,0.00
0.333,28.161,0.00
0.350,28.071,0.00
0.367,27.730,0.00
0.383,27.127,0.00
0.400,26.462,0.00
0.417,25.907,0.00
0.433,25.402,0.00
0.450,24.821,0.00
0.467,24.127,0.00
0.483,23.342,0.00
0.500,22.457,0.00
0.517,21.540,0.00
0.533,20.608,0.00
0.550,19.609,0.00
0.567,18.631,0.00
0.583,17.707,0.00
0.600,16.777,0.00
0.617,15.834,0.00
0.633,14.896,0.00
0.650,13.925,0.00
0.667,12.970,0.00
0.683,12.138,0.00
0.700,11.406,0.00
0.717,10.768,0.00
0.733,10.128,0.00
0.750,9.418,0.00
0.767,8.730,0.00
0.783,8.081,0.00
0.800,7.482,0.00
0.817,6.947,0.00
0.833,6.429,0.00
0.850,5.894,0.00
0.867,5.377,0.00
0.883,4.924,0.00
0.900,4.509,0.00
0.917,4.133,0.00
0.933,3.766,0.00
0.950,3.340,0.00
0.967,2.927,0.00
0.983,2.576,0.00
1.000,2.259,0.00
1.017,1.990,0.00
1.033,1.724,0.00
1.050,1.403,0.00
1.067,1.060,0.00
1.083,0.740,0.00
1.100,0.443,0.00
1.117,0.173,0.00
1.133,-0.030,0.00
1.150,-0.170,0.00
1.167,-0.343,0.00
1.183,-0.514,0.00
1.200,-0.733,0.00
1.217,-1.017,0.00
1.233,-1.241,0.00
1.250,-1.407,0.00
1.267,-1.571,0.00
1.283,-1.737,0.00
1.300,-1.852,0.00
1.317,-1.993,0.00
1.333,-2.193,0.00
1.350,-2.347,0.00
1.367,-2.483,0.00
1.383,-2.643,0.00
1.400,-2.798,0.00
1.417,-2.988,0.00
1.433,-3.178,0.00
1.450,-3.256,0.00
1.467,-3.271,0.00
1.483,-3.350,0.00
1.500,-3.446,0.00
1.517,-3.595,0.00
1.533,-3.710,0.00
1.550,-3.823,0.00
1.567,-3.899,0.00
1.583,-3.975,0.00
1.600,-4.064,0.00
