VERSION=1.3
ExportFileName=PM VB 8_2025-05-14_13-24-16_labchip_PURE_Data_D10
SampleLabel=D10
SampleName=PM VB 8
SampleComment=
SampleAreaConcRatio=0.014743
SampleLowerMarkerTime=12.12
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.12,15.50,16.15,16.62,17.17,17.48,17.73,18.13,18.27,18.38,18.60,18.88,19.18,19.55,19.88,20.47,20.80,21.22,22.07,22.68,22.98,23.65,25.22,25.78,26.85,33.28
SamplePeakSizes=1.380,9.130,11.855,14.099,17.063,18.929,20.486,23.131,24.055,24.881,26.458,28.605,30.982,34.033,36.944,42.351,45.617,49.877,59.165,66.388,70.045,78.494,99.999,108.305,124.633,237.621
SamplePeakQuantities=,,3.4776,2.6897,18.5573,3.0610,7.7184,107.8440,119.5749,131.6598,25.4173,19.1300,12.0558,47.1914,367.0761,458.3559,747.7522,215.3087,384.4978,336.6193,31.2427,32.6407,118.8187,75.3200,12.0498,3.6473
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:34:24 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,25.329,0.00
0.017,25.114,0.00
0.033,24.904,0.00
0.050,24.843,0.00
0.067,24.915,0.00
0.083,25.044,0.00
0.100,25.082,0.00
0.117,25.135,0.00
0.133,25.054,0.00
0.150,25.031,0.00
0.167,25.087,0.00
0.183,25.114,0.00
0.200,24.972,0.00
0.217,24.448,0.00
0.233,23.723,0.00
0.250,22.987,0.00
0.267,22.426,0.00
0.283,21.999,0.00
0.300,21.351,0.00
0.317,20.483,0.00
0.333,19.461,0.00
0.350,18.471,0.00
0.367,17.605,0.00
0.383,16.657,0.00
0.400,15.659,0.00
0.417,14.552,0.00
0.433,13.527,0.00
0.450,12.551,0.00
0.467,11.656,0.00
0.483,10.800,0.00
0.500,9.915,0.00
0.517,9.081,0.00
0.533,8.345,0.00
0.550,7.659,0.00
0.567,7.003,0.00
0.583,6.396,0.00
0.600,5.787,0.00
0.617,5.127,0.00
0.633,4.498,0.00
0.650,4.014,0.00
0.667,3.581,0.00
0.683,3.167,0.00
0.700,2.660,0.00
0.717,2.104,0.00
0.733,1.559,0.00
0.750,1.082,0.00
0.767,0.752,0.00
0.783,0.418,0.00
0.800,0.111,0.00
0.817,-0.156,0.00
0.833,-0.443,0.00
0.850,-0.690,0.00
0.867,-0.940,0.00
0.883,-1.202,0.00
0.900,-1.589,0.00
0.917,-1.946,0.00
0.933,-2.200,0.00
0.950,-2.452,0.00
0.967,-2.637,0.00
0.983,-2.830,0.00
1.000,-2.983,0.00
1.017,-3.194,0.00
1.033,-3.393,0.00
1.050,-3.596,0.00
1.067,-3.828,0.00
1.083,-3.962,0.00
1.100,-4.066,0.00
1.117,-4.182,0.00
1.133,-4.279,0.00
1.150,-4.383,0.00
1.167,-4.500,0.00
1.183,-4.715,0.00
1.200,-4.971,0.00
1.217,-5.199,0.00
1.233,-5.353,0.00
1.250,-5.507,0.00
1.267,-5.678,0.00
1.283,-5.808,0.00
1.300,-5.912,0.00
1.317,-5.961,0.00
1.333,-5.979,0.00
1.350,-6.019,0.00
1.367,-6.141,0.00
1.383,-6.268,0.00
1.400,-6.338,0.00
1.417,-6.422,0.00
1.433,-6.513,0.00
1.450,-6.601,0.00
1.467,-6.702,0.00
1.483,-6.758,0.00
1.500,-6.771,0.00
1.517,-6.852,0.00
1.533,-7.037,0.00
1.550,-7.201,0.00
1.567,-7.271,0.00
1.583,-7.289,0.00
1.600,-7.298,0.00
1.617,-7.393,0.00
1.633,-7.589,0.00
1.650,-7.744,0.00
1.667,-7.769,0.00
1.683,-7.761,0.00
1.700,-7.827,0.00
1.717,-7.944,0.00
1.733,-8.073,0.00
1.750,-8.159,0.00
1.767,-8.180,0.00
1.783,-8.204,0.00
1.800,-8.299,0.00
1.817,-8.429,0.00
1.833,-8.528,0.00
1.850,-8.609,0.00
1.867,-8.680,0.00
1.883,-8.711,0.00
1.900,-8.748,0.00
1.917,-8.821,0.00
1.933,-8.892,0.00
1.950,-8.920,0.00
1.967,-8.942,0.00
1.983,-8.991,0.00
2.000,-9.073,0.00
2.017,-9.189,0.00
2.033,-9.289,0.00
2.050,-9.336,0.00
